,bikenum,sum,week,count
338,W21834,26345,2017-02-20 00:00:00-05:00,7
339,W21834,9402,2017-02-27 00:00:00-05:00,7
340,W21834,21686,2017-03-06 00:00:00-05:00,6
341,W21834,185,2017-03-13 00:00:00-04:00,1
342,W21834,5790,2017-03-20 00:00:00-04:00,4
343,W21834,24391,2017-03-27 00:00:00-04:00,6
344,W21834,25265,2017-04-03 00:00:00-04:00,6
345,W21834,21310,2017-04-17 00:00:00-04:00,6
346,W21834,52844,2017-04-24 00:00:00-04:00,6
347,W21834,35761,2017-05-01 00:00:00-04:00,7
348,W21834,12261,2017-05-08 00:00:00-04:00,3
349,W21834,31696,2017-05-15 00:00:00-04:00,3
350,W21834,27178,2017-05-22 00:00:00-04:00,6
351,W21834,35785,2017-05-29 00:00:00-04:00,5
352,W21834,15773,2017-06-05 00:00:00-04:00,3
353,W21834,40504,2017-06-12 00:00:00-04:00,7
354,W21834,51631,2017-06-19 00:00:00-04:00,6
355,W21834,31001,2017-06-26 00:00:00-04:00,7
356,W21834,51521,2017-07-03 00:00:00-04:00,7
357,W21834,60894,2017-07-10 00:00:00-04:00,6
358,W21834,42492,2017-07-17 00:00:00-04:00,7
359,W21834,42864,2017-07-24 00:00:00-04:00,5
360,W21834,997,2017-07-31 00:00:00-04:00,3
361,W21834,24456,2017-08-07 00:00:00-04:00,4
362,W21834,25233,2017-08-14 00:00:00-04:00,6
363,W21834,32668,2017-08-21 00:00:00-04:00,7
364,W21834,34870,2017-08-28 00:00:00-04:00,6
365,W21834,27085,2017-09-04 00:00:00-04:00,7
366,W21834,56398,2017-09-11 00:00:00-04:00,6
367,W21834,15237,2017-09-18 00:00:00-04:00,4
368,W21834,39601,2017-09-25 00:00:00-04:00,3
369,W21834,35402,2017-10-02 00:00:00-04:00,7
370,W21834,12677,2017-10-09 00:00:00-04:00,5
371,W21834,16125,2017-10-23 00:00:00-04:00,5
372,W21834,20981,2017-10-30 00:00:00-04:00,7
373,W21834,14154,2017-11-06 00:00:00-05:00,7
374,W21834,19633,2017-11-13 00:00:00-05:00,7
375,W21834,25216,2017-11-20 00:00:00-05:00,6
376,W21834,2752,2017-11-27 00:00:00-05:00,1
377,W21834,1345,2017-12-04 00:00:00-05:00,2
378,W21834,7533,2017-12-11 00:00:00-05:00,5
379,W21834,18594,2017-12-18 00:00:00-05:00,5
380,W21834,183,2018-01-08 00:00:00-05:00,1
381,W21834,11571,2018-01-15 00:00:00-05:00,5
382,W21834,13450,2018-01-22 00:00:00-05:00,5
383,W21834,1977,2018-01-29 00:00:00-05:00,1
384,W21834,8790,2018-02-05 00:00:00-05:00,7
385,W21834,12862,2018-02-12 00:00:00-05:00,6
386,W21834,6651,2018-02-19 00:00:00-05:00,6
387,W21834,8205,2018-02-26 00:00:00-05:00,4
388,W21834,30209,2018-03-05 00:00:00-05:00,7
389,W21834,4958,2018-03-12 00:00:00-04:00,5
390,W21834,19231,2018-03-19 00:00:00-04:00,5
391,W21834,51420,2018-03-26 00:00:00-04:00,6
392,W21834,34216,2018-04-02 00:00:00-04:00,7
393,W21834,25099,2018-04-09 00:00:00-04:00,7
394,W21834,38776,2018-04-16 00:00:00-04:00,7
395,W21834,22975,2018-04-23 00:00:00-04:00,4
396,W21834,72606,2018-04-30 00:00:00-04:00,7
397,W21834,35732,2018-05-07 00:00:00-04:00,6
398,W21834,24835,2018-05-14 00:00:00-04:00,5
399,W21834,112376,2018-05-21 00:00:00-04:00,7
400,W21834,70103,2018-05-28 00:00:00-04:00,6
401,W21834,47594,2018-06-04 00:00:00-04:00,6
402,W21834,31726,2018-06-11 00:00:00-04:00,7
403,W21834,42447,2018-06-18 00:00:00-04:00,6
404,W21834,61103,2018-06-25 00:00:00-04:00,7
405,W21834,59663,2018-07-02 00:00:00-04:00,7
406,W21834,88394,2018-07-09 00:00:00-04:00,7
407,W21834,47245,2018-07-16 00:00:00-04:00,5
408,W21834,51114,2018-07-23 00:00:00-04:00,5
409,W21834,37706,2018-07-30 00:00:00-04:00,5
410,W21834,32964,2018-08-06 00:00:00-04:00,7
411,W21834,53193,2018-08-13 00:00:00-04:00,6
412,W21834,44843,2018-08-20 00:00:00-04:00,7
413,W21834,53341,2018-08-27 00:00:00-04:00,6
414,W21834,51518,2018-09-03 00:00:00-04:00,7
415,W21834,50414,2018-09-10 00:00:00-04:00,7
416,W21834,66805,2018-09-17 00:00:00-04:00,6
417,W21834,4890,2018-09-24 00:00:00-04:00,2
418,W21907,11455,2015-12-28 00:00:00-05:00,2
419,W21907,16290,2016-01-04 00:00:00-05:00,4
420,W21907,21764,2016-01-11 00:00:00-05:00,7
421,W21907,3971,2016-01-18 00:00:00-05:00,4
422,W21907,1054,2016-01-25 00:00:00-05:00,1
423,W21907,7991,2016-02-01 00:00:00-05:00,5
424,W21907,8773,2016-02-08 00:00:00-05:00,5
425,W21907,6437,2016-02-15 00:00:00-05:00,4
426,W21907,2262,2016-02-22 00:00:00-05:00,3
427,W21907,5710,2016-02-29 00:00:00-05:00,4
428,W21907,15736,2016-03-07 00:00:00-05:00,3
429,W21907,26736,2016-03-14 00:00:00-04:00,7
430,W21907,17456,2016-03-21 00:00:00-04:00,4
431,W21907,8125,2016-03-28 00:00:00-04:00,4
432,W21907,36385,2016-04-04 00:00:00-04:00,7
433,W21907,38811,2016-04-11 00:00:00-04:00,7
434,W21907,25593,2016-04-18 00:00:00-04:00,6
435,W21907,16792,2016-04-25 00:00:00-04:00,4
436,W21907,3469,2016-05-02 00:00:00-04:00,4
437,W21907,19284,2016-05-09 00:00:00-04:00,6
438,W21907,23115,2016-05-16 00:00:00-04:00,6
439,W21907,39340,2016-05-23 00:00:00-04:00,7
440,W21907,2905,2016-05-30 00:00:00-04:00,2
441,W21907,3887,2016-06-06 00:00:00-04:00,1
442,W21907,38764,2016-06-13 00:00:00-04:00,6
443,W21907,67056,2016-06-20 00:00:00-04:00,7
444,W21907,103524,2016-06-27 00:00:00-04:00,7
445,W21907,39613,2016-07-04 00:00:00-04:00,7
446,W21907,98547,2016-07-11 00:00:00-04:00,7
447,W21907,52475,2016-07-18 00:00:00-04:00,7
448,W21907,24438,2016-07-25 00:00:00-04:00,5
449,W21907,34091,2016-08-01 00:00:00-04:00,5
450,W21907,18166,2016-08-08 00:00:00-04:00,6
451,W21907,35956,2016-08-15 00:00:00-04:00,7
452,W21907,40764,2016-08-22 00:00:00-04:00,4
453,W21907,19933,2016-08-29 00:00:00-04:00,6
454,W21907,31002,2016-09-05 00:00:00-04:00,5
455,W21907,21336,2016-09-12 00:00:00-04:00,7
456,W21907,15807,2016-09-19 00:00:00-04:00,5
457,W21907,36774,2016-09-26 00:00:00-04:00,6
458,W21907,29379,2016-10-03 00:00:00-04:00,6
459,W21907,35821,2016-10-10 00:00:00-04:00,7
460,W21907,34643,2016-10-17 00:00:00-04:00,7
461,W21907,26049,2016-10-24 00:00:00-04:00,6
462,W21907,28608,2016-10-31 00:00:00-04:00,6
463,W21907,27738,2016-11-07 00:00:00-05:00,7
464,W21907,37612,2016-11-14 00:00:00-05:00,7
465,W21907,6758,2016-11-21 00:00:00-05:00,4
466,W21907,32015,2016-11-28 00:00:00-05:00,6
467,W21907,15550,2016-12-05 00:00:00-05:00,6
468,W21907,22118,2016-12-12 00:00:00-05:00,4
469,W21907,1693,2016-12-19 00:00:00-05:00,2
470,W21907,24005,2016-12-26 00:00:00-05:00,2
471,W21907,12316,2017-01-09 00:00:00-05:00,4
472,W21907,33615,2017-01-16 00:00:00-05:00,7
473,W21907,7721,2017-01-23 00:00:00-05:00,4
474,W21907,11364,2017-01-30 00:00:00-05:00,6
475,W21907,9170,2017-02-06 00:00:00-05:00,4
476,W21907,29545,2017-02-13 00:00:00-05:00,6
477,W21907,55947,2017-02-20 00:00:00-05:00,7
478,W21907,21508,2017-02-27 00:00:00-05:00,7
479,W21907,11745,2017-03-06 00:00:00-05:00,7
480,W21907,4737,2017-03-13 00:00:00-04:00,3
481,W21907,48293,2017-03-20 00:00:00-04:00,6
482,W21907,33231,2017-03-27 00:00:00-04:00,6
483,W21907,40475,2017-04-03 00:00:00-04:00,7
484,W21907,29004,2017-04-10 00:00:00-04:00,7
485,W21907,62878,2017-04-17 00:00:00-04:00,5
486,W21907,12782,2017-04-24 00:00:00-04:00,4
487,W21907,15962,2017-05-01 00:00:00-04:00,5
488,W21907,11303,2017-05-08 00:00:00-04:00,3
489,W21907,64283,2017-05-15 00:00:00-04:00,7
490,W21907,42632,2017-05-22 00:00:00-04:00,7
491,W21907,18333,2017-05-29 00:00:00-04:00,2
492,W21907,207,2017-06-05 00:00:00-04:00,1
493,W21907,327,2017-06-12 00:00:00-04:00,1
494,W21907,6729,2017-06-19 00:00:00-04:00,3
495,W21907,32800,2017-06-26 00:00:00-04:00,7
496,W21907,692,2017-07-03 00:00:00-04:00,2
497,W21907,5101,2017-07-10 00:00:00-04:00,5
